MCS,Cell_ID,Cell_TarVol,Cell_Vol,Cell_TarSur,Cell_Sur
0,0,27252.0,27254,0.0,6790.0
0,1,141.0,142,0.0,54.0
0,2,173.0,174,0.0,56.0
0,3,158.0,157,0.0,52.0
0,4,116.0,116,0.0,60.0
0,5,155.0,154,0.0,54.0
0,6,101.0,99,0.0,46.0
0,7,151.0,151,0.0,56.0
0,8,80.0,80,0.0,38.0
0,9,212.0,212,0.0,66.0
0,10,145.0,146,0.0,56.0
0,11,76.0,75,0.0,48.0
0,12,70.0,70,0.0,38.0
0,13,148.0,147,0.0,52.0
0,14,139.0,139,0.0,52.0
0,15,102.0,102,0.0,46.0
0,16,160.0,159,0.0,60.0
0,17,91.0,91,0.0,42.0
0,18,105.0,106,0.0,44.0
0,19,120.0,119,0.0,54.0
0,20,155.0,154,0.0,60.0
0,21,99.0,100,0.0,50.0
0,22,110.0,111,0.0,50.0
0,23,144.0,143,0.0,50.0
0,24,99.0,100,0.0,44.0
0,25,94.0,94,0.0,44.0
0,26,104.0,104,0.0,46.0
0,27,124.0,123,0.0,52.0
0,28,151.0,151,0.0,56.0
0,29,84.0,85,0.0,52.0
0,30,88.0,87,0.0,44.0
0,31,88.0,89,0.0,40.0
0,32,134.0,134,0.0,50.0
0,33,148.0,149,0.0,56.0
0,34,103.0,102,0.0,52.0
0,35,110.0,110,0.0,42.0
0,36,97.0,97,0.0,40.0
0,37,112.0,111,0.0,50.0
0,38,111.0,114,0.0,52.0
0,39,62.0,62,0.0,36.0
0,40,139.0,139,0.0,56.0
0,41,78.0,79,0.0,38.0
0,42,76.0,76,0.0,38.0
0,43,90.0,89,0.0,38.0
0,44,71.0,71,0.0,40.0
0,45,82.0,81,0.0,42.0
0,46,141.0,142,0.0,60.0
0,47,84.0,84,0.0,40.0
0,48,66.0,67,0.0,36.0
0,49,54.0,54,0.0,34.0
0,50,108.0,106,0.0,50.0
0,51,78.0,78,0.0,42.0
0,52,141.0,140,0.0,52.0
0,53,96.0,97,0.0,44.0
0,54,130.0,130,0.0,56.0
0,55,97.0,96,0.0,50.0
0,56,177.0,176,0.0,62.0
0,57,127.0,127,0.0,56.0
0,58,87.0,86,0.0,46.0
0,59,80.0,79,0.0,44.0
0,60,162.0,161,0.0,58.0
0,61,135.0,134,0.0,52.0
0,62,128.0,129,0.0,50.0
0,63,135.0,134,0.0,54.0
0,64,173.0,174,0.0,64.0
0,65,117.0,118,0.0,44.0
0,66,111.0,111,0.0,48.0
0,67,142.0,142,0.0,56.0
0,68,175.0,176,0.0,66.0
0,69,143.0,142,0.0,50.0
0,70,104.0,104,0.0,46.0
0,71,70.0,70,0.0,38.0
0,72,85.0,84,0.0,46.0
0,73,118.0,118,0.0,50.0
0,74,126.0,126,0.0,50.0
0,75,126.0,125,0.0,54.0
0,76,151.0,151,0.0,54.0
0,77,76.0,77,0.0,36.0
0,78,148.0,148,0.0,58.0
0,79,137.0,137,0.0,50.0
0,80,146.0,146,0.0,58.0
0,81,257.0,258,0.0,76.0
0,82,130.0,129,0.0,54.0
0,83,147.0,149,0.0,52.0
0,84,95.0,93,0.0,42.0
0,85,166.0,167,0.0,60.0
0,86,63.0,62,0.0,32.0
0,87,86.0,87,0.0,44.0
0,88,149.0,150,0.0,62.0
0,89,156.0,156,0.0,60.0
0,90,117.0,117,0.0,48.0
0,91,150.0,150,0.0,60.0
0,92,118.0,119,0.0,48.0
0,93,189.0,189,0.0,62.0
0,94,58.0,58,0.0,38.0
0,95,100.0,100,0.0,52.0
0,96,118.0,119,0.0,48.0
0,97,313.0,313,0.0,86.0
0,98,137.0,139,0.0,54.0
0,99,142.0,142,0.0,60.0
0,100,310.0,311,0.0,84.0
0,101,116.0,116,0.0,48.0
0,102,292.0,291,0.0,76.0
0,103,104.0,104,0.0,52.0
0,104,105.0,107,0.0,48.0
0,105,140.0,141,0.0,50.0
0,106,141.0,140,0.0,54.0
0,107,89.0,90,0.0,44.0
0,108,157.0,157,0.0,56.0
0,109,147.0,146,0.0,50.0
0,110,114.0,113,0.0,48.0
0,111,127.0,126,0.0,54.0
0,112,92.0,92,0.0,52.0
0,113,128.0,128,0.0,52.0
0,114,144.0,143,0.0,58.0
0,115,163.0,164,0.0,56.0
0,116,123.0,123,0.0,48.0
0,117,168.0,169,0.0,60.0
0,118,118.0,119,0.0,50.0
0,119,121.0,122,0.0,46.0
0,120,156.0,158,0.0,54.0
0,121,59.0,58,0.0,38.0
0,122,128.0,128,0.0,50.0
0,123,140.0,140,0.0,58.0
0,124,68.0,70,0.0,36.0
0,125,133.0,131,0.0,52.0
0,126,76.0,75,0.0,42.0
0,127,89.0,89,0.0,46.0
0,128,138.0,137,0.0,50.0
0,129,99.0,99,0.0,46.0
0,130,148.0,148,0.0,60.0
0,131,105.0,106,0.0,46.0
0,132,176.0,177,0.0,60.0
0,133,125.0,125,0.0,46.0
0,134,126.0,127,0.0,56.0
0,135,119.0,119,0.0,50.0
0,136,80.0,79,0.0,40.0
0,137,140.0,140,0.0,52.0
0,138,123.0,123,0.0,56.0
0,139,143.0,142,0.0,58.0
0,140,118.0,118,0.0,54.0
0,141,104.0,105,0.0,48.0
0,142,82.0,81,0.0,42.0
0,143,151.0,151,0.0,56.0
0,144,127.0,126,0.0,56.0
0,145,123.0,123,0.0,58.0
0,146,164.0,164,0.0,58.0
0,147,79.0,79,0.0,40.0
0,148,150.0,150,0.0,56.0
0,149,229.0,228,0.0,68.0
0,150,175.0,177,0.0,60.0
0,151,70.0,70,0.0,36.0
0,152,170.0,170,0.0,60.0
0,153,124.0,122,0.0,52.0
0,154,125.0,125,0.0,54.0
0,155,123.0,124,0.0,48.0
0,156,179.0,179,0.0,64.0
0,157,99.0,99,0.0,52.0
0,158,91.0,89,0.0,42.0
0,159,191.0,191,0.0,66.0
0,160,76.0,77,0.0,40.0
0,161,100.0,101,0.0,48.0
0,162,118.0,118,0.0,48.0
0,163,113.0,113,0.0,48.0
0,164,138.0,138,0.0,52.0
0,165,70.0,70,0.0,36.0
0,166,104.0,104,0.0,48.0
0,167,170.0,171,0.0,58.0
0,168,92.0,93,0.0,44.0
0,169,189.0,190,0.0,68.0
0,170,158.0,157,0.0,52.0
0,171,113.0,113,0.0,44.0
0,172,111.0,110,0.0,44.0
0,173,85.0,84,0.0,42.0
0,174,120.0,122,0.0,54.0
0,175,103.0,103,0.0,46.0
0,176,121.0,122,0.0,48.0
0,177,155.0,155,0.0,58.0
0,178,103.0,104,0.0,44.0
0,179,91.0,91,0.0,50.0
0,180,189.0,188,0.0,64.0
0,181,72.0,71,0.0,40.0
0,182,179.0,180,0.0,62.0
0,183,77.0,76,0.0,38.0
0,184,97.0,97,0.0,42.0
0,185,128.0,128,0.0,54.0
0,186,72.0,72,0.0,34.0
0,187,210.0,212,0.0,68.0
0,188,95.0,94,0.0,42.0
0,189,116.0,116,0.0,54.0
0,190,86.0,85,0.0,40.0
0,191,167.0,167,0.0,56.0
0,192,73.0,71,0.0,42.0
0,193,161.0,161,0.0,54.0
0,194,78.0,79,0.0,38.0
0,195,298.0,299,0.0,78.0
0,196,236.0,235,0.0,78.0
0,197,124.0,124,0.0,54.0
0,198,131.0,132,0.0,52.0
0,199,165.0,165,0.0,60.0
0,200,99.0,98,0.0,42.0
0,201,77.0,77,0.0,48.0
0,202,60.0,59,0.0,36.0
0,203,97.0,97,0.0,46.0
0,204,151.0,151,0.0,54.0
0,205,99.0,100,0.0,48.0
0,206,144.0,145,0.0,60.0
0,207,132.0,133,0.0,58.0
0,208,63.0,64,0.0,36.0
0,209,100.0,100,0.0,50.0
0,210,87.0,87,0.0,44.0
0,211,114.0,113,0.0,46.0
0,212,53.0,51,0.0,36.0
0,213,126.0,126,0.0,56.0
0,214,85.0,84,0.0,44.0
0,215,100.0,99,0.0,44.0
0,216,147.0,147,0.0,56.0
0,217,214.0,214,0.0,68.0
0,218,75.0,75,0.0,40.0
0,219,120.0,120,0.0,50.0
0,220,165.0,165,0.0,64.0
0,221,127.0,127,0.0,50.0
0,222,104.0,102,0.0,50.0
0,223,41.0,40,0.0,40.0
0,224,126.0,127,0.0,60.0
0,225,129.0,130,0.0,58.0
0,226,271.0,271,0.0,74.0
0,227,68.0,67,0.0,40.0
0,228,75.0,75,0.0,36.0
0,229,145.0,145,0.0,50.0
0,230,222.0,223,0.0,64.0
0,231,139.0,139,0.0,50.0
0,232,152.0,154,0.0,54.0
0,233,108.0,106,0.0,48.0
0,234,117.0,118,0.0,48.0
0,235,93.0,93,0.0,46.0
0,236,117.0,119,0.0,50.0
0,237,159.0,159,0.0,54.0
0,238,86.0,87,0.0,40.0
0,239,60.0,61,0.0,42.0
0,240,113.0,112,0.0,52.0
0,241,138.0,139,0.0,58.0
0,242,128.0,126,0.0,54.0
0,243,174.0,175,0.0,56.0
0,244,80.0,82,0.0,44.0
0,245,149.0,150,0.0,58.0
0,246,190.0,192,0.0,60.0
0,247,151.0,151,0.0,52.0
0,248,194.0,194,0.0,68.0
0,249,68.0,68,0.0,38.0
0,250,161.0,163,0.0,60.0
0,251,91.0,90,0.0,40.0
0,252,84.0,83,0.0,40.0
0,253,96.0,95,0.0,46.0
0,254,140.0,141,0.0,58.0
0,255,149.0,147,0.0,58.0
0,256,200.0,200,0.0,74.0
0,257,111.0,110,0.0,50.0
0,258,98.0,99,0.0,44.0
0,259,142.0,142,0.0,60.0
0,260,100.0,101,0.0,42.0
0,261,96.0,95,0.0,44.0
0,262,100.0,100,0.0,42.0
0,263,113.0,114,0.0,46.0
0,264,51.0,50,0.0,30.0
0,265,50.0,49,0.0,38.0
0,266,206.0,207,0.0,62.0
0,267,155.0,155,0.0,60.0
0,268,96.0,96,0.0,40.0
0,269,90.0,89,0.0,42.0
0,270,109.0,110,0.0,56.0
0,271,310.0,309,0.0,82.0
0,272,26.0,24,0.0,26.0
0,273,170.0,170,0.0,60.0
0,274,126.0,125,0.0,50.0
0,275,83.0,84,0.0,40.0
0,276,76.0,74,0.0,42.0
0,277,87.0,87,0.0,46.0
0,278,130.0,129,0.0,54.0
0,279,165.0,165,0.0,62.0
0,280,120.0,120,0.0,48.0
0,281,125.0,125,0.0,48.0
0,282,88.0,89,0.0,42.0
0,283,173.0,174,0.0,64.0
0,284,97.0,96,0.0,46.0
0,285,73.0,73,0.0,40.0
0,286,120.0,122,0.0,54.0
0,287,140.0,139,0.0,50.0
0,288,467.0,467,0.0,104.0
0,289,103.0,103,0.0,48.0
0,290,120.0,119,0.0,54.0
0,291,105.0,104,0.0,50.0
0,292,299.0,299,0.0,74.0
0,293,171.0,172,0.0,56.0
0,294,138.0,138,0.0,54.0
0,295,86.0,87,0.0,42.0
0,296,187.0,187,0.0,58.0
0,297,176.0,177,0.0,60.0
0,298,138.0,138,0.0,50.0
0,299,132.0,135,0.0,56.0
0,300,138.0,138,0.0,60.0
0,301,136.0,135,0.0,50.0
0,302,120.0,120,0.0,56.0
0,303,86.0,85,0.0,44.0
0,304,196.0,196,0.0,68.0
0,305,94.0,92,0.0,50.0
0,306,88.0,88,0.0,46.0
0,307,118.0,119,0.0,46.0
0,308,134.0,134,0.0,50.0
0,309,109.0,108,0.0,48.0
0,310,96.0,95,0.0,42.0
0,311,134.0,134,0.0,48.0
0,312,357.0,357,0.0,86.0
0,313,158.0,159,0.0,54.0
0,314,141.0,142,0.0,58.0
0,315,95.0,96,0.0,42.0
0,316,108.0,109,0.0,46.0
0,317,124.0,123,0.0,52.0
0,318,76.0,77,0.0,40.0
0,319,98.0,98,0.0,50.0
0,320,134.0,134,0.0,52.0
0,321,133.0,132,0.0,54.0
0,322,128.0,127,0.0,50.0
0,323,293.0,294,0.0,78.0
0,324,65.0,64,0.0,36.0
0,325,190.0,189,0.0,66.0
0,326,104.0,105,0.0,46.0
0,327,68.0,68,0.0,36.0
0,328,129.0,128,0.0,52.0
0,329,72.0,71,0.0,38.0
0,330,63.0,64,0.0,34.0
0,331,87.0,87,0.0,40.0
0,332,75.0,77,0.0,44.0
0,333,131.0,131,0.0,50.0
0,334,549.0,549,0.0,108.0
0,335,89.0,88,0.0,40.0
0,336,137.0,137,0.0,58.0
0,337,108.0,108,0.0,50.0
0,338,113.0,113,0.0,48.0
0,339,150.0,149,0.0,52.0
0,340,206.0,208,0.0,70.0
0,341,96.0,95,0.0,50.0
0,342,132.0,131,0.0,48.0
0,343,77.0,77,0.0,38.0
0,344,81.0,81,0.0,44.0
0,345,158.0,158,0.0,64.0
0,346,118.0,117,0.0,48.0
0,347,130.0,131,0.0,54.0
0,348,111.0,111,0.0,48.0
0,349,163.0,162,0.0,60.0
0,350,76.0,74,0.0,38.0
0,351,127.0,128,0.0,48.0
0,352,154.0,153,0.0,54.0
0,353,139.0,139,0.0,54.0
0,354,99.0,99,0.0,40.0
0,355,118.0,116,0.0,50.0
0,356,131.0,132,0.0,54.0
0,357,141.0,141,0.0,54.0
0,358,110.0,110,0.0,50.0
0,359,110.0,109,0.0,48.0
0,360,124.0,125,0.0,50.0
0,361,337.0,337,0.0,80.0
0,362,178.0,178,0.0,66.0
0,363,200.0,200,0.0,64.0
0,364,148.0,149,0.0,60.0
0,365,212.0,211,0.0,60.0
0,366,111.0,111,0.0,52.0
0,367,72.0,72,0.0,36.0
0,368,105.0,103,0.0,42.0
0,369,48.0,48,0.0,32.0
0,370,74.0,75,0.0,42.0
0,371,88.0,88,0.0,44.0
0,372,135.0,136,0.0,62.0
0,373,155.0,156,0.0,60.0
0,374,90.0,91,0.0,46.0
0,375,117.0,118,0.0,50.0
0,376,408.0,408,0.0,90.0
0,377,135.0,136,0.0,56.0
0,378,104.0,102,0.0,46.0
0,379,182.0,183,0.0,62.0
0,380,293.0,294,0.0,82.0
0,381,145.0,144,0.0,62.0
0,382,72.0,71,0.0,38.0
0,383,115.0,117,0.0,52.0
0,384,108.0,109,0.0,44.0
0,385,104.0,104,0.0,52.0
0,386,161.0,162,0.0,60.0
0,387,130.0,129,0.0,58.0
0,388,134.0,134,0.0,50.0
0,389,99.0,99,0.0,48.0
0,390,125.0,125,0.0,48.0
0,391,254.0,254,0.0,68.0
0,392,121.0,122,0.0,52.0
0,393,108.0,108,0.0,46.0
0,394,147.0,148,0.0,52.0
0,395,100.0,100,0.0,44.0
0,396,200.0,200,0.0,66.0
0,397,114.0,113,0.0,50.0
0,398,94.0,93,0.0,42.0
0,399,91.0,92,0.0,40.0
0,400,139.0,139,0.0,60.0
0,401,300.0,302,0.0,82.0
0,402,78.0,77,0.0,42.0
0,403,115.0,113,0.0,52.0
0,404,87.0,87,0.0,42.0
0,405,131.0,132,0.0,56.0
0,406,161.0,161,0.0,52.0
0,407,126.0,126,0.0,50.0
0,408,116.0,116,0.0,56.0
0,409,95.0,95,0.0,48.0
0,410,84.0,82,0.0,44.0
0,411,118.0,119,0.0,52.0
0,412,112.0,112,0.0,46.0
0,413,169.0,171,0.0,58.0
0,414,85.0,85,0.0,44.0
0,415,60.0,60,0.0,34.0
0,416,183.0,186,0.0,62.0
0,417,136.0,136,0.0,58.0
0,418,122.0,122,0.0,48.0
0,419,105.0,105,0.0,56.0
0,420,95.0,94,0.0,44.0
0,421,83.0,83,0.0,46.0
0,422,95.0,95,0.0,56.0
0,423,130.0,130,0.0,58.0
0,424,125.0,125,0.0,54.0
0,425,112.0,112,0.0,46.0
0,426,153.0,152,0.0,58.0
0,427,92.0,91,0.0,42.0
0,428,146.0,147,0.0,64.0
0,429,62.0,62,0.0,36.0
0,430,76.0,75,0.0,42.0
0,431,103.0,103,0.0,48.0
0,432,112.0,113,0.0,54.0
0,433,201.0,202,0.0,70.0
0,434,100.0,100,0.0,54.0
0,435,68.0,66,0.0,42.0
0,436,237.0,237,0.0,70.0
0,437,246.0,246,0.0,68.0
0,438,105.0,104,0.0,44.0
0,439,116.0,116,0.0,54.0
0,440,473.0,472,0.0,102.0
0,441,56.0,56,0.0,32.0
0,442,105.0,105,0.0,44.0
0,443,144.0,144,0.0,54.0
